order_id,date,product,city,quantity,unit_price
1138,2024/11/12,Moniter,Hamburg ,1,199.00
1095,2024/05/29,Moniter,Köln,5,199.00
1037,2024-03-06,Monitor ,Köln,1,"199,00"
1053,2024/11/09,tastatur,,5,49.00
1202,03/05/2024,Mouse,koln,2,25.00 €
1006,21/11/2024,Tastatur,koln,3,"49,00"
1215,19/12/2024, Tastatur ,Hamburg,4,"49,00"
1169,2024/05/27,Mouse,Berlin,2,"25,00 €"
1187,2024-08-19,Monitor ,BERLIN,2,199.00
1160,24.03.2024,Mouse,Hamburg,2,25.00
1003,20/04/2024, Tastatur ,Hamburg ,3,
1214,08/11/2024,tastatur,,4,"49,00"
1079,07.02.2024,MAUS,Köln,5,25.00 €
1098,2024/06/25,MAUS,Köln,3,25.00
1104,2024-11-20,Maus,BERLIN,1,25.00
1077,2024-12-23,Notebook,,2,899.00
1116,25/02/2024,maus,München,-3,25.00
1173,03/05/2024,notebook,München,1,899.00
1115,2024/02/16,MAUS,munchen,4,"25,00"
1025,2024-04-19,Mouse,Koeln,4,25.00
1051,2024-12-01,Moniter,Hamburg,1,199.00
1153,21.01.2024, Notebook,hamburg,2,899.00
1028,2024-10-31,monitor,Berlin,1,199.00
1056,2024/12/21,Monitor ,koln,2,199.00 €
1097,16/09/2024,Mouse,Muenchen,3,25.00
1089,2024-08-28,maus,,3,25.00
1021,2024/02/18,Mouse,Hamburg ,1,25.00
1186,2024/04/19,tastatur,Köln,5,
1026,04.08.2024,MAUS,Muenchen,5,25.00
1046,2024/07/25,maus,munchen,3,25.00
1101,2024-03-14,Mouse,BERLIN,4,25.00
1087,2024-06-14, Notebook,koln,5,"899,00 €"
1042,15/01/2024,Maus,München,1,25.00
1093,2024-05-27,tastatur,,4,49.00
1166,2024-01-28, Notebook,Köln,4,899.00
1084,05/08/2024,tastatur,Hamburg,1,49.00
1139,2024/05/19,Maus,Koeln,2,25.00 €
1171,2024-11-10,MAUS,,3,"25,00"
1130,2024-07-30,MAUS,hamburg,3,25.00
1145,2024/05/04,MAUS,BERLIN,4,25.00
1048,18.09.2024,Maus,hamburg,4,25.00
1061,13/05/2024,Moniter,BERLIN,4,"199,00"
1058,2024/06/01,NOTEBOOK,Muenchen,4,899.00
1034,2024-04-14,Monitor,MÜNCHEN,3,199.00
1117,2024-11-28,MAUS,MÜNCHEN,4,"25,00 €"
1172,28/08/2024,Notebook,Koeln,1,899.00
1191,11/06/2024,notebook,Hamburg ,1,899.00
1055,2024-05-26,maus,berlin,2,"25,00"
1161,2024/12/12,maus,Muenchen,2,25.00
1178,20/12/2024,Monitor,koln,4,"199,00"
1183,2024-11-26,NOTEBOOK,Hamburg,3,"899,00"
1017,27.09.2024,Monitor ,MÜNCHEN,5,199.00
1152,2024/11/05,Monitor,munchen,4,199.00
1148,15/10/2024,MAUS,Köln,5,25.00
1039,2024/01/13,monitor,Koeln,2,199.00
1168,11.11.2024,maus,koln,1,25.00 €
1040,2024/07/14,Monitor ,BERLIN,1,
1075,08/04/2024,Notebook,Hamburg,2,899.00
1060,2024/07/20,monitor, Berlin,5,199.00 €
1180,2024/12/04,notebook,MÜNCHEN,3,"899,00"
1096,15.07.2024,Maus,hamburg,2,25.00
1194,05.03.2024,monitor,Muenchen,3,199.00 €
1105,2024/07/02,NOTEBOOK,Muenchen,3,899.00
1024,29.11.2024,notebook, Berlin,5,899.00
1054,2024/05/12,maus,Koeln,2,25.00
1090,2024/05/27,Maus,Koeln,4,25.00
1050,2024/08/21,Mouse, Berlin,4,25.00
1023,2024-03-12,Moniter,,4,"199,00"
1001,17.02.2024,NOTEBOOK, Berlin,2,"899,00"
1045,15/11/2024,NOTEBOOK,munchen,3,899.00 €
1207,22.09.2024, Tastatur ,koln,4,"49,00"
1210,2024/05/15,notebook,koln,5,899.00
1211,2024-12-14,maus,Hamburg,2,"25,00"
1102,2024/11/28, Tastatur ,koln,1,49.00
1043,2024/06/09,maus,munchen,4,25.00
1062,11/02/2024,maus,München,4,"25,00"
1127,2024/09/02,Notebook,Berlin,4,899.00 €
1188,02.06.2024, Notebook,Muenchen,2,899.00
1039,2024/01/13,monitor,Koeln,2,199.00
1102,2024/11/28, Tastatur ,koln,1,49.00
1197,2024/08/20,Mouse,MÜNCHEN,1,25.00
1074,2024-06-29,maus,munchen,4,"25,00"
1123,01.11.2024, Tastatur ,Hamburg,1,"49,00"
1059,2024/05/19,maus,hamburg,4,25.00
1193,14/06/2024,Monitor,hamburg,2,"199,00"
1012,15/12/2024,Notebook,BERLIN,5,899.00
1071,01.11.2024,Tastatur,Muenchen,3,49.00
1088,28.08.2024,NOTEBOOK,hamburg,5,899.00
1136,2024-10-16,Monitor,Hamburg ,4,"199,00"
1198,06/11/2024,Moniter,Muenchen,2,"199,00"
1019,2024-01-04,Monitor,hamburg,1,199.00 €
1057,2024-02-01,Mouse,Koeln,2,25.00
1066,2024-12-22,Monitor,,3,199.00
1156,2024-06-07,Monitor ,MÜNCHEN,4,"199,00"
1151,2024-10-24,Mouse,koln,5,25.00
1063,06.05.2024,notebook, Berlin,2,899.00
1154,28/07/2024,Tastatur,Koeln,3,49.00 €
1140,2024-01-24,maus,munchen,2,"25,00"
1114,2024-05-31,tastatur,,3,49.00
1015,10/01/2024,tastatur,Köln,1,
1177,2024/03/04,Tastaur,munchen,3,49.00
1010,2024-04-22,Maus,Muenchen,2,25.00 €
1122,16.10.2024,monitor,Hamburg,2,"199,00"
1201,2024/09/12,Monitor,Hamburg,5,199.00
1196,2024/11/17,notebook,koln,5,"899,00"
