original_label,kanonisches_label
ARTS,Kunst
ARTS & CULTURE,Kunst
BLACK VOICES,Gesellschaft
BUSINESS,Wirtschaft
COLLEGE,Bildung
COMEDY,Entertainment
CRIME,Kriminalität
CULTURE & ARTS,Kunst
DIVORCE,Familie
EDUCATION,Bildung
ENTERTAINMENT,Entertainment
ENVIRONMENT,Umwelt
FIFTY,Sonstiges
FOOD & DRINK,Essen
GOOD NEWS,Sonstiges
GREEN,Umwelt
HEALTHY LIVING,Gesundheit
HOME & LIVING,Wohnen
IMPACT,Gesellschaft
LATINO VOICES,Gesellschaft
MEDIA,Gesellschaft
MONEY,Wirtschaft
PARENTING,Familie
PARENTS,Familie
POLITICS,Politik
QUEER VOICES,Gesellschaft
RELIGION,Religion
SCIENCE,Umwelt
SPORTS,Sport
STYLE,Style & Beauty
STYLE & BEAUTY,Style & Beauty
TASTE,Essen
TECH,Sonstiges
THE WORLDPOST,Welt
TRAVEL,Reisen
U.S. NEWS,US News
WEDDINGS,Familie
WEIRD NEWS,Sonstiges
WELLNESS,Gesundheit
WOMEN,Gesellschaft
WORLD NEWS,Welt
WORLDPOST,Welt
