source,year,month,monthname,category,artikel,med_headline_woerter,avg_headline_woerter,med_beschreibung_woerter
ABC News (AU),2003,2,02-Feb,Gesellschaft,45,6.0,6.16,
ABC News (AU),2003,2,02-Feb,Gesundheit,37,7.0,6.78,
ABC News (AU),2003,2,02-Feb,Kriminalität,201,7.0,6.74,
ABC News (AU),2003,2,02-Feb,Politik,84,6.0,6.51,
ABC News (AU),2003,2,02-Feb,Sonstiges,1476,6.0,6.27,
ABC News (AU),2003,2,02-Feb,Sport,47,7.0,6.94,
ABC News (AU),2003,2,02-Feb,Umwelt,98,6.0,6.18,
ABC News (AU),2003,2,02-Feb,Welt,120,7.0,7.12,
ABC News (AU),2003,2,02-Feb,Wirtschaft,72,7.0,6.64,
ABC News (AU),2003,3,03-Mar,Gesellschaft,129,6.0,6.29,
ABC News (AU),2003,3,03-Mar,Gesundheit,179,6.0,6.48,
ABC News (AU),2003,3,03-Mar,Kriminalität,500,7.0,6.59,
ABC News (AU),2003,3,03-Mar,Politik,345,6.0,6.5,
ABC News (AU),2003,3,03-Mar,Sonstiges,4122,6.0,6.29,
ABC News (AU),2003,3,03-Mar,Sport,129,7.0,6.61,
ABC News (AU),2003,3,03-Mar,Umwelt,161,6.0,6.31,
ABC News (AU),2003,3,03-Mar,Welt,656,7.0,6.95,
ABC News (AU),2003,3,03-Mar,Wirtschaft,189,7.0,6.7,
ABC News (AU),2003,4,04-Apr,Gesellschaft,132,6.0,6.17,
ABC News (AU),2003,4,04-Apr,Gesundheit,170,6.5,6.57,
ABC News (AU),2003,4,04-Apr,Kriminalität,456,6.0,6.47,
ABC News (AU),2003,4,04-Apr,Politik,253,6.0,6.36,
ABC News (AU),2003,4,04-Apr,Sonstiges,4252,6.0,6.36,
ABC News (AU),2003,4,04-Apr,Sport,103,7.0,6.8,
ABC News (AU),2003,4,04-Apr,Umwelt,147,6.0,6.24,
ABC News (AU),2003,4,04-Apr,Welt,348,7.0,7.14,
ABC News (AU),2003,4,04-Apr,Wirtschaft,240,6.0,6.62,
ABC News (AU),2003,5,05-May,Gesellschaft,91,6.0,6.27,
ABC News (AU),2003,5,05-May,Gesundheit,193,6.0,6.46,
ABC News (AU),2003,5,05-May,Kriminalität,543,7.0,6.57,
ABC News (AU),2003,5,05-May,Politik,268,6.0,6.49,
ABC News (AU),2003,5,05-May,Sonstiges,4466,6.0,6.2,
ABC News (AU),2003,5,05-May,Sport,141,6.0,6.56,
ABC News (AU),2003,5,05-May,Umwelt,147,6.0,6.27,
ABC News (AU),2003,5,05-May,Welt,178,7.0,6.72,
ABC News (AU),2003,5,05-May,Wirtschaft,372,6.0,6.31,
ABC News (AU),2003,6,06-Jun,Gesellschaft,142,6.0,6.31,
ABC News (AU),2003,6,06-Jun,Gesundheit,168,6.0,6.27,
ABC News (AU),2003,6,06-Jun,Kriminalität,580,7.0,6.49,
ABC News (AU),2003,6,06-Jun,Politik,267,6.0,6.41,
ABC News (AU),2003,6,06-Jun,Sonstiges,4411,6.0,6.27,
ABC News (AU),2003,6,06-Jun,Sport,133,7.0,6.7,
ABC News (AU),2003,6,06-Jun,Umwelt,174,6.0,6.37,
ABC News (AU),2003,6,06-Jun,Welt,209,7.0,6.9,
ABC News (AU),2003,6,06-Jun,Wirtschaft,262,6.0,6.34,
ABC News (AU),2003,7,07-Jul,Gesellschaft,146,6.0,6.03,
ABC News (AU),2003,7,07-Jul,Gesundheit,155,6.0,6.24,
ABC News (AU),2003,7,07-Jul,Kriminalität,554,7.0,6.49,
ABC News (AU),2003,7,07-Jul,Politik,243,6.0,6.59,
ABC News (AU),2003,7,07-Jul,Sonstiges,4552,6.0,6.21,
ABC News (AU),2003,7,07-Jul,Sport,106,6.0,6.39,
ABC News (AU),2003,7,07-Jul,Umwelt,191,6.0,6.33,
ABC News (AU),2003,7,07-Jul,Welt,251,7.0,6.7,
ABC News (AU),2003,7,07-Jul,Wirtschaft,307,6.0,6.49,
ABC News (AU),2003,8,08-Aug,Gesellschaft,134,6.0,6.28,
ABC News (AU),2003,8,08-Aug,Gesundheit,178,6.0,6.5,
ABC News (AU),2003,8,08-Aug,Kriminalität,524,7.0,6.59,
ABC News (AU),2003,8,08-Aug,Politik,250,6.0,6.47,
ABC News (AU),2003,8,08-Aug,Sonstiges,4303,6.0,6.19,
ABC News (AU),2003,8,08-Aug,Sport,102,6.0,6.29,
ABC News (AU),2003,8,08-Aug,Umwelt,164,6.0,6.22,
ABC News (AU),2003,8,08-Aug,Welt,223,7.0,6.71,
ABC News (AU),2003,8,08-Aug,Wirtschaft,250,6.0,6.5,
ABC News (AU),2003,9,09-Sep,Gesellschaft,126,6.0,6.31,
ABC News (AU),2003,9,09-Sep,Gesundheit,180,6.0,6.49,
ABC News (AU),2003,9,09-Sep,Kriminalität,538,7.0,6.61,
ABC News (AU),2003,9,09-Sep,Politik,289,6.0,6.38,
ABC News (AU),2003,9,09-Sep,Sonstiges,3893,6.0,6.36,
ABC News (AU),2003,9,09-Sep,Sport,148,7.0,6.78,
ABC News (AU),2003,9,09-Sep,Umwelt,158,6.0,6.35,
ABC News (AU),2003,9,09-Sep,Welt,236,7.0,6.78,
ABC News (AU),2003,9,09-Sep,Wirtschaft,272,7.0,6.62,
ABC News (AU),2003,10,10-Oct,Gesellschaft,144,6.0,6.49,
ABC News (AU),2003,10,10-Oct,Gesundheit,206,6.0,6.46,
ABC News (AU),2003,10,10-Oct,Kriminalität,605,7.0,6.65,
ABC News (AU),2003,10,10-Oct,Politik,356,7.0,6.53,
ABC News (AU),2003,10,10-Oct,Sonstiges,4337,6.0,6.37,
ABC News (AU),2003,10,10-Oct,Sport,162,7.0,6.69,
ABC News (AU),2003,10,10-Oct,Umwelt,188,6.0,6.49,
ABC News (AU),2003,10,10-Oct,Welt,257,7.0,6.74,
ABC News (AU),2003,10,10-Oct,Wirtschaft,343,7.0,6.64,
ABC News (AU),2003,11,11-Nov,Gesellschaft,112,6.0,6.29,
ABC News (AU),2003,11,11-Nov,Gesundheit,170,6.0,6.36,
ABC News (AU),2003,11,11-Nov,Kriminalität,560,6.0,6.51,
ABC News (AU),2003,11,11-Nov,Politik,289,6.0,6.48,
ABC News (AU),2003,11,11-Nov,Sonstiges,3772,6.0,6.22,
ABC News (AU),2003,11,11-Nov,Sport,111,6.0,6.62,
ABC News (AU),2003,11,11-Nov,Umwelt,171,6.0,6.43,
ABC News (AU),2003,11,11-Nov,Welt,245,7.0,6.69,
ABC News (AU),2003,11,11-Nov,Wirtschaft,281,6.0,6.25,
ABC News (AU),2003,12,12-Dec,Gesellschaft,123,6.0,6.24,
ABC News (AU),2003,12,12-Dec,Gesundheit,165,6.0,6.16,
ABC News (AU),2003,12,12-Dec,Kriminalität,607,6.0,6.33,
ABC News (AU),2003,12,12-Dec,Politik,240,6.0,6.41,
ABC News (AU),2003,12,12-Dec,Sonstiges,3951,6.0,6.15,
ABC News (AU),2003,12,12-Dec,Sport,86,6.0,6.13,
ABC News (AU),2003,12,12-Dec,Umwelt,149,6.0,6.23,
ABC News (AU),2003,12,12-Dec,Welt,216,7.0,6.67,
ABC News (AU),2003,12,12-Dec,Wirtschaft,242,6.0,6.22,
ABC News (AU),2004,1,01-Jan,Gesellschaft,86,6.0,6.37,
ABC News (AU),2004,1,01-Jan,Gesundheit,188,7.0,6.68,
ABC News (AU),2004,1,01-Jan,Kriminalität,511,7.0,6.54,
ABC News (AU),2004,1,01-Jan,Politik,208,7.0,6.67,
ABC News (AU),2004,1,01-Jan,Sonstiges,4003,6.0,6.37,
ABC News (AU),2004,1,01-Jan,Sport,85,6.0,6.46,
ABC News (AU),2004,1,01-Jan,Umwelt,227,6.0,6.35,
ABC News (AU),2004,1,01-Jan,Welt,210,7.0,6.99,
ABC News (AU),2004,1,01-Jan,Wirtschaft,247,7.0,6.55,
ABC News (AU),2004,2,02-Feb,Gesellschaft,121,6.0,6.28,
ABC News (AU),2004,2,02-Feb,Gesundheit,145,6.0,6.33,
ABC News (AU),2004,2,02-Feb,Kriminalität,521,6.0,6.38,
ABC News (AU),2004,2,02-Feb,Politik,297,6.0,6.28,
ABC News (AU),2004,2,02-Feb,Sonstiges,4004,6.0,6.22,
ABC News (AU),2004,2,02-Feb,Sport,106,6.0,6.38,
ABC News (AU),2004,2,02-Feb,Umwelt,170,6.0,6.28,
ABC News (AU),2004,2,02-Feb,Welt,191,6.0,6.53,
ABC News (AU),2004,2,02-Feb,Wirtschaft,266,6.0,6.47,
ABC News (AU),2004,3,03-Mar,Gesellschaft,155,6.0,6.24,
ABC News (AU),2004,3,03-Mar,Gesundheit,199,6.0,6.5,
ABC News (AU),2004,3,03-Mar,Kriminalität,582,7.0,6.54,
ABC News (AU),2004,3,03-Mar,Politik,390,6.0,6.39,
ABC News (AU),2004,3,03-Mar,Sonstiges,4337,6.0,6.23,
ABC News (AU),2004,3,03-Mar,Sport,139,6.0,6.41,
ABC News (AU),2004,3,03-Mar,Umwelt,157,6.0,6.24,
ABC News (AU),2004,3,03-Mar,Welt,261,7.0,6.6,
ABC News (AU),2004,3,03-Mar,Wirtschaft,286,6.0,6.44,
ABC News (AU),2004,4,04-Apr,Gesellschaft,140,6.0,6.22,
ABC News (AU),2004,4,04-Apr,Gesundheit,171,6.0,6.18,
ABC News (AU),2004,4,04-Apr,Kriminalität,575,6.0,6.3,
ABC News (AU),2004,4,04-Apr,Politik,262,6.0,6.11,
ABC News (AU),2004,4,04-Apr,Sonstiges,3993,6.0,6.06,
ABC News (AU),2004,4,04-Apr,Sport,108,6.0,6.43,
ABC News (AU),2004,4,04-Apr,Umwelt,160,6.0,6.06,
ABC News (AU),2004,4,04-Apr,Welt,297,7.0,6.59,
ABC News (AU),2004,4,04-Apr,Wirtschaft,241,6.0,6.2,
ABC News (AU),2004,5,05-May,Gesellschaft,108,6.0,6.3,
ABC News (AU),2004,5,05-May,Gesundheit,163,6.0,6.23,
ABC News (AU),2004,5,05-May,Kriminalität,531,7.0,6.49,
ABC News (AU),2004,5,05-May,Politik,299,6.0,6.45,
ABC News (AU),2004,5,05-May,Sonstiges,3885,6.0,6.21,
ABC News (AU),2004,5,05-May,Sport,112,7.0,6.66,
ABC News (AU),2004,5,05-May,Umwelt,159,6.0,6.22,
ABC News (AU),2004,5,05-May,Welt,261,7.0,6.69,
ABC News (AU),2004,5,05-May,Wirtschaft,359,6.0,6.4,
ABC News (AU),2004,6,06-Jun,Gesellschaft,128,6.0,6.22,
ABC News (AU),2004,6,06-Jun,Gesundheit,174,6.0,6.25,
ABC News (AU),2004,6,06-Jun,Kriminalität,598,6.0,6.43,
ABC News (AU),2004,6,06-Jun,Politik,304,6.0,6.42,
ABC News (AU),2004,6,06-Jun,Sonstiges,4325,6.0,6.11,
ABC News (AU),2004,6,06-Jun,Sport,110,6.0,6.45,
ABC News (AU),2004,6,06-Jun,Umwelt,124,6.0,6.24,
ABC News (AU),2004,6,06-Jun,Welt,250,7.0,6.68,
ABC News (AU),2004,6,06-Jun,Wirtschaft,263,6.0,6.27,
ABC News (AU),2004,7,07-Jul,Gesellschaft,138,6.0,5.99,
ABC News (AU),2004,7,07-Jul,Gesundheit,176,6.0,6.22,
ABC News (AU),2004,7,07-Jul,Kriminalität,545,6.0,6.36,
ABC News (AU),2004,7,07-Jul,Politik,315,6.0,6.24,
ABC News (AU),2004,7,07-Jul,Sonstiges,4144,6.0,6.01,
ABC News (AU),2004,7,07-Jul,Sport,142,6.0,6.1,
ABC News (AU),2004,7,07-Jul,Umwelt,153,6.0,6.09,
