source,category,keyword,haeufigkeit,rang
HuffPost (US),US News,california,70,1
HuffPost (US),US News,dead,66,2
HuffPost (US),US News,shooting,63,3
HuffPost (US),US News,police,62,4
HuffPost (US),US News,covid,52,5
HuffPost (US),US News,death,48,6
HuffPost (US),US News,school,43,7
HuffPost (US),US News,florida,41,8
HuffPost (US),US News,trump,41,9
HuffPost (US),US News,woman,37,10
HuffPost (US),Entertainment,trump,1966,1
HuffPost (US),Entertainment,donald,1276,2
HuffPost (US),Entertainment,video,1144,3
HuffPost (US),Entertainment,'the,910,4
HuffPost (US),Entertainment,watch,681,5
HuffPost (US),Entertainment,first,640,6
HuffPost (US),Entertainment,all,635,7
HuffPost (US),Entertainment,just,595,8
HuffPost (US),Entertainment,news,552,9
HuffPost (US),Entertainment,trump's,532,10
HuffPost (US),Familie,wedding,1678,1
HuffPost (US),Familie,kids,1460,2
HuffPost (US),Familie,divorce,1371,3
HuffPost (US),Familie,video,1103,4
HuffPost (US),Familie,parents,888,5
HuffPost (US),Familie,mom,794,6
HuffPost (US),Familie,day,788,7
HuffPost (US),Familie,baby,703,8
HuffPost (US),Familie,marriage,700,9
HuffPost (US),Familie,photos,667,10
HuffPost (US),Welt,trump,385,1
HuffPost (US),Welt,north,369,2
HuffPost (US),Welt,korea,350,3
HuffPost (US),Welt,isis,314,4
HuffPost (US),Welt,attack,311,5
HuffPost (US),Welt,china,281,6
HuffPost (US),Welt,world,257,7
HuffPost (US),Welt,president,246,8
HuffPost (US),Welt,syria,236,9
HuffPost (US),Welt,war,234,10
HuffPost (US),Kunst,art,435,1
HuffPost (US),Kunst,photos,352,2
HuffPost (US),Kunst,artist,202,3
HuffPost (US),Kunst,artists,110,4
HuffPost (US),Kunst,book,107,5
HuffPost (US),Kunst,first,98,6
HuffPost (US),Kunst,world,94,7
HuffPost (US),Kunst,imageblog,94,8
HuffPost (US),Kunst,women,88,9
HuffPost (US),Kunst,video,88,10
HuffPost (US),Umwelt,climate,526,1
HuffPost (US),Umwelt,video,367,2
HuffPost (US),Umwelt,photos,357,3
HuffPost (US),Umwelt,change,323,4
HuffPost (US),Umwelt,week,302,5
HuffPost (US),Umwelt,may,243,6
HuffPost (US),Umwelt,apple,220,7
HuffPost (US),Umwelt,watch,216,8
HuffPost (US),Umwelt,could,214,9
HuffPost (US),Umwelt,facebook,192,10
HuffPost (US),Sport,nfl,343,1
HuffPost (US),Sport,video,281,2
HuffPost (US),Sport,game,257,3
HuffPost (US),Sport,world,203,4
HuffPost (US),Sport,olympic,189,5
HuffPost (US),Sport,football,188,6
HuffPost (US),Sport,team,177,7
HuffPost (US),Sport,player,173,8
HuffPost (US),Sport,nba,166,9
HuffPost (US),Sport,olympics,151,10
HuffPost (US),Politik,trump,8087,1
HuffPost (US),Politik,donald,3108,2
HuffPost (US),Politik,trump's,1906,3
HuffPost (US),Politik,gop,1823,4
HuffPost (US),Politik,clinton,1578,5
HuffPost (US),Politik,obama,1390,6
HuffPost (US),Politik,house,1308,7
HuffPost (US),Politik,hillary,1275,8
HuffPost (US),Politik,white,958,9
