Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval
1,c,a,340.0,,,1,26.0,2013.0,"Jan,Apr,Jul,Oct"
2,a,a,1120.0,3.0,2006.0,0,,,
3,d,c,1960.0,,,1,14.0,2014.0,"Mar,Jun,Sept,Dec"
4,c,a,6500.0,2.0,2006.0,1,15.0,2011.0,"Mar,Jun,Sept,Dec"
5,a,c,1480.0,5.0,2005.0,1,18.0,2011.0,"Feb,May,Aug,Nov"
6,d,c,320.0,,,1,44.0,2015.0,"Feb,May,Aug,Nov"
7,c,a,18000.0,,,1,13.0,2015.0,"Feb,May,Aug,Nov"
8,c,c,,2.0,2015.0,1,15.0,2015.0,"Feb,May,Aug,Nov"
9,a,a,,10.0,2010.0,0,,,
10,a,a,14000.0,6.0,2002.0,0,,,
11,a,c,1340.0,11.0,2013.0,1,10.0,2011.0,"Mar,Jun,Sept,Dec"
12,d,a,,,,0,,,
13,b,c,1620.0,,,0,,,
14,c,c,460.0,9.0,2002.0,1,9.0,2012.0,"Mar,Jun,Sept,Dec"
15,a,c,,10.0,2005.0,0,,,
16,a,c,1060.0,2.0,2010.0,1,36.0,2011.0,"Feb,May,Aug,Nov"
17,b,a,,7.0,2015.0,1,10.0,2013.0,"Jan,Apr,Jul,Oct"
18,a,a,1220.0,1.0,2015.0,0,,,
19,c,c,,6.0,2014.0,1,9.0,2013.0,"Feb,May,Aug,Nov"
20,b,c,1780.0,10.0,2003.0,0,,,
21,c,a,1560.0,11.0,2001.0,1,5.0,2015.0,"Mar,Jun,Sept,Dec"
22,a,a,980.0,4.0,2014.0,1,25.0,2012.0,"Mar,Jun,Sept,Dec"
23,d,a,,5.0,2014.0,0,,,
24,d,a,220.0,,,0,,,
25,c,c,1560.0,5.0,2000.0,0,,,
26,a,a,1220.0,3.0,2010.0,0,,,
27,a,c,1800.0,4.0,2001.0,0,,,
28,a,c,860.0,5.0,2000.0,1,21.0,2011.0,"Feb,May,Aug,Nov"
29,a,c,7000.0,7.0,2014.0,0,,,
30,c,a,1280.0,12.0,2007.0,1,39.0,2013.0,"Mar,Jun,Sept,Dec"
31,c,a,640.0,7.0,2001.0,0,,,
32,d,c,660.0,,,1,39.0,2013.0,"Jan,Apr,Jul,Oct"
33,a,c,9500.0,8.0,2005.0,0,,,
34,a,a,880.0,10.0,2008.0,0,,,
35,a,c,1020.0,6.0,2014.0,1,39.0,2013.0,"Feb,May,Aug,Nov"
36,a,a,4000.0,,,0,,,
