Store,StoreType,Year,PlanSales,ActualSales,TradingDays,VarianceAbs,VariancePct
1,c,2014,1539383.97,1433408,303,-105975.97,-6.88
1,c,2015,833472.75,792306,175,-41166.75,-4.94
2,a,2014,1535074.33,1516432,304,-18642.33,-1.21
2,a,2015,884685.04,879262,176,-5423.04,-0.61
3,a,2014,2196165.37,2072949,302,-123216.37,-5.61
3,a,2015,1221921.94,1207047,175,-14874.94,-1.22
4,c,2014,2942538.82,2971989,304,29450.18,1.0
4,c,2015,1716020.84,1731851,176,15830.16,0.92
5,a,2014,1469155.0,1406465,302,-62690.0,-4.27
5,a,2015,815994.94,816125,176,130.06,0.02
6,a,2014,1965169.47,1553747,302,-411422.47,-20.94
6,a,2015,923196.19,837312,176,-85884.19,-9.3
7,a,2014,2693932.28,2737383,305,43450.72,1.61
7,a,2015,1571492.82,1578888,176,7395.18,0.47
8,a,2014,1590191.89,1689700,304,99508.11,6.26
8,a,2015,947293.88,1110894,176,163600.12,17.27
9,a,2014,1792964.98,2054495,302,261530.02,14.59
9,a,2015,1181634.8,1319552,175,137917.2,11.67
10,a,2014,1677049.03,1713375,304,36325.97,2.17
10,a,2015,1010147.75,1024832,176,14684.25,1.45
11,a,2014,2588540.02,2465020,304,-123520.02,-4.77
11,a,2015,1382920.9,1322991,176,-59929.9,-4.33
12,a,2014,2331318.73,2309289,304,-22029.73,-0.94
12,a,2015,1332760.34,1380053,176,47292.66,3.55
13,d,2014,730620.27,738440,147,7819.73,1.07
13,d,2015,761321.68,758781,147,-2540.68,-0.33
14,a,2014,1683651.39,1686926,302,3274.61,0.19
14,a,2015,998849.86,972217,175,-26632.86,-2.67
15,d,2014,2036756.07,2043889,304,7132.93,0.35
15,d,2015,1190787.94,1212589,176,21801.06,1.83
16,a,2014,2259586.21,2362148,301,102561.79,4.54
16,a,2015,1385710.48,1409051,174,23340.52,1.68
17,a,2014,1990524.86,1925141,303,-65383.86,-3.28
17,a,2015,1103048.59,1100358,176,-2690.59,-0.24
18,d,2014,1930241.95,2019568,303,89326.05,4.63
18,d,2015,1155143.09,1239338,176,84194.91,7.29
19,a,2014,1885855.36,2009452,302,123596.64,6.55
19,a,2015,1168201.89,1199190,175,30988.11,2.65
