YearMonth,Year,PlanSales,ActualSales,TradingDays,VarianceAbs,VariancePct
2014-01,2014,183836765.17,187263733,28624,3426967.83,1.86
2014-02,2014,177035567.02,178467125,26715,1431557.98,0.81
2014-03,2014,214590092.38,192521148,28922,-22068944.38,-10.28
2014-04,2014,182195434.23,194105868,26839,11910433.77,6.54
2014-05,2014,203651223.06,194380076,27965,-9271147.06,-4.55
2014-06,2014,174503580.61,189726580,26155,15222999.39,8.72
2014-07,2014,181388831.5,173892707,25224,-7496124.5,-4.13
2014-08,2014,166754848.12,163748475,24388,-3006373.12,-1.8
2014-09,2014,160768829.69,164516168,24341,3747338.31,2.33
2014-10,2014,162822643.99,164216398,24301,1393754.01,0.86
2014-11,2014,164798737.48,173327953,22989,8529215.52,5.18
2014-12,2014,210869418.52,202120592,23492,-8748826.52,-4.15
2015-01,2015,193904398.08,198843730,28763,4939331.92,2.55
2015-02,2015,184199291.84,178275458,26766,-5923833.84,-3.22
2015-03,2015,199403741.38,205631683,29079,6227941.62,3.12
2015-04,2015,200484589.19,197918886,26931,-2565703.19,-1.28
2015-05,2015,185264733.0,189143897,25879,3879164.0,2.09
2015-06,2015,212242596.42,207275140,28397,-4967456.42,-2.34
2015-07,2015,179763292.44,179117292,25311,-646000.44,-0.36
