YearMonth,Revenue,VariableCost,FixedCost,ContributionMargin,OperatingProfit,TradingDays,TotalCost,CMRatioPct,OperatingMarginPct
2014-01,187263733,150285148.62,25761600.0,36978584.38,11216984.38,28624,176046748.62,19.75,5.99
2014-02,178467125,143224344.62,24043500.0,35242780.38,11199280.38,26715,167267844.62,19.75,6.28
2014-03,192521148,154511172.95,26029800.0,38009975.05,11980175.05,28922,180540972.95,19.74,6.22
2014-04,194105868,155779067.0,24155100.0,38326801.0,14171701.0,26839,179934167.0,19.75,7.3
2014-05,194380076,156008423.36,25168500.0,38371652.64,13203152.64,27965,181176923.36,19.74,6.79
2014-06,189726580,152277602.36,23539500.0,37448977.64,13909477.64,26155,175817102.36,19.74,7.33
2014-07,173892707,139509773.2,22701600.0,34382933.8,11681333.8,25224,162211373.2,19.77,6.72
2014-08,163748475,131370107.94,21949200.0,32378367.06,10429167.06,24388,153319307.94,19.77,6.37
2014-09,164516168,131988855.03,21906900.0,32527312.97,10620412.97,24341,153895755.03,19.77,6.46
2014-10,164216398,131752549.74,21870900.0,32463848.26,10592948.26,24301,153623449.74,19.77,6.45
2014-11,173327953,139056323.97,20690100.0,34271629.03,13581529.03,22989,159746423.97,19.77,7.84
2014-12,202120592,162137993.89,21142800.0,39982598.11,18839798.11,23492,183280793.89,19.78,9.32
2015-01,198843730,159590919.81,25886700.0,39252810.19,13366110.19,28763,185477619.81,19.74,6.72
2015-02,178275458,143084996.11,24089400.0,35190461.89,11101061.89,26766,167174396.11,19.74,6.23
2015-03,205631683,165042253.07,26171100.0,40589429.93,14418329.93,29079,191213353.07,19.74,7.01
2015-04,197918886,158856629.29,24237900.0,39062256.71,14824356.71,26931,183094529.29,19.74,7.49
2015-05,189143897,151833389.59,23291100.0,37310507.41,14019407.41,25879,175124489.59,19.73,7.41
2015-06,207275140,166365368.64,25557300.0,40909771.36,15352471.36,28397,191922668.64,19.74,7.41
2015-07,179117292,143710768.97,22779900.0,35406523.03,12626623.03,25311,166490668.97,19.77,7.05
