Store,StoreType,Revenue,VariableCost,FixedCost,ContributionMargin,OperatingProfit,TradingDays,TotalCost,CMRatioPct,OperatingMarginPct
1,c,2225714,1758314.06,430200.0,467399.94,37199.94,478,2188514.06,21.0,1.67
2,a,2395694,1916555.2,432000.0,479138.8,47138.8,480,2348555.2,20.0,1.97
3,a,3279996,2623996.8,429300.0,655999.2,226699.2,477,3053296.8,20.0,6.91
4,c,4703840,3716033.6,432000.0,987806.4,555806.4,480,4148033.6,21.0,11.82
5,a,2222590,1778072.0,430200.0,444518.0,14318.0,478,2208272.0,20.0,0.64
6,a,2391059,1912847.2,430200.0,478211.8,48011.8,478,2343047.2,20.0,2.01
7,a,4316271,3453016.8,432900.0,863254.2,430354.2,481,3885916.8,20.0,9.97
8,a,2800594,2240475.2,432000.0,560118.8,128118.8,480,2672475.2,20.0,4.57
9,a,3374047,2699237.6,429300.0,674809.4,245509.4,477,3128537.6,20.0,7.28
10,a,2738207,2190565.6,432000.0,547641.4,115641.4,480,2622565.6,20.0,4.22
11,a,3788011,3030408.8,432000.0,757602.2,325602.2,480,3462408.8,20.0,8.6
12,a,3689342,2951473.6,432000.0,737868.4,305868.4,480,3383473.6,20.0,8.29
13,d,1497221,1212749.01,264600.0,284471.99,19871.99,294,1477349.01,19.0,1.33
14,a,2659143,2127314.4,429300.0,531828.6,102528.6,477,2556614.4,20.0,3.86
15,d,3256478,2637747.18,432000.0,618730.82,186730.82,480,3069747.18,19.0,5.73
16,a,3771199,3016959.2,427500.0,754239.8,326739.8,475,3444459.2,20.0,8.66
17,a,3025499,2420399.2,431100.0,605099.8,173999.8,479,2851499.2,20.0,5.75
18,d,3258906,2639713.86,431100.0,619192.14,188092.14,479,3070813.86,19.0,5.77
19,a,3208642,2566913.6,429300.0,641728.4,212428.4,477,2996213.6,20.0,6.62
20,d,2321213,1880182.53,261900.0,441030.47,179130.47,291,2142082.53,19.0,7.72
21,c,2681466,2118358.14,427500.0,563107.86,135607.86,475,2545858.14,21.0,5.06
22,a,1330570,1064456.0,262800.0,266114.0,3314.0,292,1327256.0,20.0,0.25
23,d,2647513,2144485.53,429300.0,503027.47,73727.47,477,2573785.53,19.0,2.78
24,a,4565429,3652343.2,429300.0,913085.8,483785.8,477,4081643.2,20.0,10.6
25,c,4910570,3879350.3,404100.0,1031219.7,627119.7,449,4283450.3,21.0,12.77
26,d,3266516,2645877.96,431100.0,620638.04,189538.04,479,3076977.96,19.0,5.8
27,a,4596496,3677196.8,429300.0,919299.2,489999.2,477,4106496.8,20.0,10.66
28,a,2410176,1928140.8,418500.0,482035.2,63535.2,465,2346640.8,20.0,2.64
29,d,3780628,3062308.68,429300.0,718319.32,289019.32,477,3491608.68,19.0,7.64
30,a,2301058,1840846.4,427500.0,460211.6,32711.6,475,2268346.4,20.0,1.42
31,d,2829127,2291592.87,432000.0,537534.13,105534.13,480,2723592.87,19.0,3.73
32,a,1205398,964318.4,264600.0,241079.6,-23520.4,294,1228918.4,20.0,-1.95
33,a,3984540,3187632.0,429300.0,796908.0,367608.0,477,3616932.0,20.0,9.23
34,c,3896924,3078569.96,432000.0,818354.04,386354.04,480,3510569.96,21.0,9.91
35,d,4855915,3933291.15,429300.0,922623.85,493323.85,477,4362591.15,19.0,10.16
36,a,2746680,2197344.0,264600.0,549336.0,284736.0,294,2461944.0,20.0,10.37
37,c,3303648,2609881.92,429300.0,693766.08,264466.08,477,3039181.92,21.0,8.01
38,d,2901861,2350507.41,429300.0,551353.59,122053.59,477,2779807.41,19.0,4.21
39,a,2424390,1939512.0,429300.0,484878.0,55578.0,477,2368812.0,20.0,2.29
40,a,2277342,1821873.6,427500.0,455468.4,27968.4,475,2249373.6,20.0,1.23
41,d,1725058,1397296.98,264600.0,327761.02,63161.02,294,1661896.98,19.0,3.66
42,a,4984534,3987627.2,429300.0,996906.8,567606.8,477,4416927.2,20.0,11.39
