service_id,client_id,staff_id,service_date,service_type_code,duration_minutes
L000001,K0061,S007,2025-01-01,BEG,30
L000002,K0134,S024,2025-01-01,AST,30
L000003,K0102,S032,2025-01-01,SCH,120
L000004,K0140,S012,2025-01-01,SCH,60
L000005,K0009,S032,2025-01-01,SCH,60
L000006,K0024,S031,2025-01-01,BEG,90
L000007,K0046,S023,2025-01-01,BEG,30
L000008,K0083,S015,2025-01-01,AST,120
L000009,K0152,S001,2025-01-01,AST,30
L000010,K0122,S002,2025-01-01,AST,45
L000011,K0140,S020,2025-01-01,SCH,30
L000012,K0121,S013,2025-01-01,GRP,45
L000013,K0171,S018,2025-01-01,BEG,120
L000014,K0119,S001,2025-01-01,BEG,45
L000015,K0017,S013,2025-01-01,DOK,180
L000016,K0003,S029,2025-01-01,AST,45
L000017,K0053,S010,2025-01-01,AST,90
L000018,K0021,S015,2025-01-01,AST,60
L000019,K0144,S027,2025-01-01,BEG,30
L000020,K0099,S020,2025-01-01,BEG,60
L000021,K0061,S032,2025-01-01,SCH,120
L000022,K0035,S031,2025-01-01,SCH,180
L000023,K0105,S003,2025-01-01,FAL,45
L000024,K0134,S018,2025-01-01,AST,180
L000025,K0148,S029,2025-01-01,DOK,60
L000026,K0152,S023,2025-01-01,SCH,45
L000027,K0019,S029,2025-01-01,BEG,60
L000028,K0173,S010,2025-01-01,AST,60
L000029,K0036,S017,2025-01-01,AST,120
L000030,K0079,S013,2025-01-01,BEG,60
L000031,K0001,S027,2025-01-01,BER,60
L000032,K0151,S012,2025-01-01,FAL,60
L000033,K0054,S020,2025-01-01,BER,60
L000034,K0121,S023,2025-01-01,GRP,180
L000035,K0020,S018,2025-01-01,BEG,180
L000036,K0137,S006,2025-01-01,DOK,180
L000037,K0138,S017,2025-01-01,GRP,30
L000038,K0047,S024,2025-01-01,BEG,60
L000039,K0151,S010,2025-01-01,AST,60
L000040,K0030,S013,2025-01-01,AST,60
L000041,K0131,S028,2025-01-01,AST,45
L000042,K0147,S027,2025-01-01,BER,60
L000043,K0084,S025,2025-01-01,AST,60
L000044,K0152,S008,2025-01-01,DOK,180
L000045,K0069,S020,2025-01-01,GRP,30
L000046,K0032,S027,2025-01-01,AST,120
L000047,K0159,S004,2025-01-01,BER,180
L000048,K0083,S004,2025-01-01,AST,60
L000049,K0172,S018,2025-01-01,AST,45
L000050,K0004,S013,2025-01-01,AST,180
L000051,K0116,S005,2025-01-01,AST,30
L000052,K0044,S032,2025-01-02,BER,180
L000053,K0032,S027,2025-01-02,SCH,30
L000054,K0011,S010,2025-01-02,AST,45
L000055,K0141,S001,2025-01-02,FAL,60
L000056,K0065,S018,2025-01-02,FAL,90
L000057,K0102,S002,2025-01-02,DOK,60
L000058,K0105,S002,2025-01-02,GRP,90
L000059,K0009,S020,2025-01-02,FAL,30
L000060,K0035,S012,2025-01-02,DOK,30
L000061,K0067,S008,2025-01-02,GRP,120
L000062,K0171,S025,2025-01-02,FAL,90
L000063,K0153,S008,2025-01-02,GRP,120
L000064,K0005,S023,2025-01-02,DOK,60
L000065,K0009,S003,2025-01-02,SCH,120
L000066,K0040,S029,2025-01-02,AST,60
L000067,K0122,S018,2025-01-02,SCH,30
L000068,K0159,S018,2025-01-02,GRP,30
L000069,K0012,S005,2025-01-02,AST,30
L000070,K0150,S010,2025-01-02,DOK,45
L000071,K0084,S023,2025-01-02,DOK,120
L000072,K0135,S015,2025-01-02,DOK,30
L000073,K0126,S031,2025-01-02,BEG,180
L000074,K0119,S028,2025-01-02,AST,120
L000075,K0007,S007,2025-01-02,BEG,60
L000076,K0178,S032,2025-01-02,SCH,45
L000077,K0127,S032,2025-01-02,SCH,30
L000078,K0111,S018,2025-01-02,DOK,180
L000079,K0112,S006,2025-01-02,SCH,120
L000080,K0038,S025,2025-01-02,AST,60
L000081,K0120,S014,2025-01-02,SCH,60
L000082,K0126,S001,2025-01-02,DOK,180
L000083,K0014,S020,2025-01-02,GRP,60
L000084,K0032,S027,2025-01-02,AST,60
