staff_id,role,cost_centre_id,contract_hours_week,start_date,end_date
S001,Specialist,CC20,39.0,2025-01-01,2025-09-21
S002,Assistant,CC20,39.0,2025-01-01,
S003,Management,CC20,30.0,2025-01-01,
S004,Specialist,CC40,35.0,2025-01-01,
S005,Specialist,CC50,35.0,2025-01-01,
S006,Specialist,CC10,35.0,2025-01-01,
S007,Specialist,CC10,19.5,2025-01-01,
S008,Management,CC10,19.5,2025-01-01,
S009,Specialist,CC40,39.0,2025-06-26,
S010,Specialist,CC20,30.0,2025-01-01,
S011,Management,CC20,35.0,2025-01-01,
S012,Specialist,CC20,30.0,2025-01-01,
S013,Specialist,CC50,39.0,2025-01-01,
S014,Administration,CC20,39.0,2025-01-01,
S015,Specialist,CC30,19.5,2025-01-01,
S016,Assistant,CC50,39.0,2025-02-02,
S017,Specialist,CC10,25.0,2025-01-01,
S018,Specialist,CC30,25.0,2025-01-01,
S019,Specialist,CC20,35.0,2025-05-23,
S020,Specialist,CC30,35.0,2025-01-01,
S021,Assistant,CC40,35.0,2025-06-20,
S022,Specialist,CC10,19.5,2025-01-01,
S023,Specialist,CC50,35.0,2025-01-01,
S024,Specialist,CC40,30.0,2025-01-01,2025-07-26
S025,Specialist,CC40,35.0,2025-01-01,
S026,Specialist,CC30,35.0,2025-02-22,
S027,Specialist,CC50,19.5,2025-01-01,
S028,Specialist,CC40,39.0,2025-01-01,2025-04-04
S029,Specialist,CC40,30.0,2025-01-01,
S030,Specialist,CC10,19.5,2025-05-26,
S031,Specialist,CC10,25.0,2025-01-01,
S032,Specialist,CC20,25.0,2025-01-01,2025-06-08
S033,Specialist,CC50,39.0,2025-07-05,
S034,Specialist,CC30,19.5,2025-01-01,
